"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Cooperative Correlational and Discriminative Ensemble Classifier Learning for Early Dementia Diagnosis Using Morphological Brain Multiplexes","R. Raeper; A. Lisowska; I. Rekik","BASIRA Lab, CVIP Group, School of Science and Engineering, University of Dundee, Dundee, U.K.; Department of Computer Science, University of Warwick, Coventry, U.K.; BASIRA Lab, CVIP Group, School of Science and Engineering, University of Dundee, Dundee, U.K.","IEEE Access","","2018","6","","43830","43839","Dementia alters the brain wiring on different levels. However, these changes might be subtle particularly in patients with early mild cognitive impairment (eMCI). Hence, developing accurate diagnostic techniques for eMCI identification is critical for early intervention to prevent the onset of Alzheimer’s disease (AD). There is a large body of machine-learning-based research developed for classifying different brain states (e.g., AD vs MCI) using neuroimaging data. These works can be fundamentally grouped into two categories. The first one uses<italic>correlational</italic>methods, such as canonical correlation analysis (CCA) and its variants, with the aim to identify most correlated features for diagnosis. The second one includes<italic>discriminative</italic>methods, such as feature selection methods and linear discriminative analysis (LDA) and its variants to identify brain features that discriminate between two brain states. However, existing methods examine these correlational and discriminative brain data<italic>independently</italic>, which overlooks the complementary information provided by both techniques, which could prove to be useful in data classification tasks. On the other hand, how early dementia affects cortical brain<italic>connections in morphology</italic>remains largely unexplored. To address these limitations, we propose a cooperative correlational and discriminative ensemble learning framework for eMCI diagnosis that leverages a brain network representation from multiple morphological networks, each derived from the cortical surface. Specifically, we devise the shallow convolutional brain multiplex (SCBM), which encodes both<italic>region-to-region</italic>and<italic>network-to-network</italic>relationships. Then, we represent each individual brain using a set of SCBMs, which are used to train an ensemble of CCA-SVM and LDA-based classifiers, cooperating to output the label for a new testing subject. Overall, our framework outperformed several state-of-the-art methods including independent correlational and discriminative methods.","2169-3536","","10.1109/ACCESS.2018.2863657","National Institutes of Health; U.S. Department of Defense; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8425717","Morphological brain network;multi-view brain data;canonical correlation analysis;discriminative methods;linear discriminant analysis;ensemble classifier;brain multiplex","Multiplexing;Dementia;Feature extraction;Correlation;Machine learning;Morphology","","","","","35","","","","","IEEE","IEEE Journals & Magazines"
"Measuring the cortical thickness [MRI segmentation procedure]","F. Kruggel; D. Yves von Cramon","Max-Planck-Inst. of Cognitive Neurosci., Leipzig, Germany; NA","Proceedings IEEE Workshop on Mathematical Methods in Biomedical Image Analysis. MMBIA-2000 (Cat. No.PR00737)","","2000","","","154","161","Besides normal aging, a number of brain diseases are known to reduce the amount of grey matter in the brain. To better understand the nature and progression of these disease processes, quantitative measurements of relevant brain structures, such as the regional cortical thickness, are highly desirable. Starting from high resolution volumetric MR images of the human head, a reliable segmentation procedure for the grey matter compartment is described which allows thickness measurements at sub-voxel resolution. Simulation experiments and comparisons with published data from histological examinations prove the validity of results.","","0-7695-0737","10.1109/MMBIA.2000.852372","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=852372","","Thickness measurement;Image segmentation;Aging;Humans;Neurons;Alzheimer's disease;Degenerative diseases;Data mining;Neuroscience;Brain","brain;diseases;thickness measurement;biomedical MRI;medical image processing;image segmentation;image resolution","cortical thickness measurement;brain diseases;MRI segmentation procedure;brain grey matter amount reduction;regional cortical thickness;high resolution volumetric MR images;human head;reliable segmentation procedure;subvoxel resolution;histological examinations;medical diagnostic imaging","","2","23","","","","","IEEE","IEEE Conferences"
"Cross-cohort dementia identification using transfer learning with FDG-PET imaging","S. Lu; Y. Xia; W. Cai; D. D. Feng; M. Fulham","Biomedical and Multimedia Information Technology (BMIT) Research Group, School of Information Technologies, University of Sydney, Sydney, Australia; Shaanxi Key Lab of Speech &amp; Image Information Processing (SAIIP), School of Computer Science, Northwestern Polytechnical University, Xi'an, China; Biomedical and Multimedia Information Technology (BMIT) Research Group, School of Information Technologies, University of Sydney, Sydney, Australia; Biomedical and Multimedia Information Technology (BMIT) Research Group, School of Information Technologies, University of Sydney, Sydney, Australia; Department of PET and Nuclear Medicine, Royal Prince Alfred (RPA) Hospital, Sydney, Australia","2018 IEEE 15th International Symposium on Biomedical Imaging (ISBI 2018)","","2018","","","1550","1554","Machine learning has recently been applied to the identification of dementia syndromes. Accurately labeled PET brain scans used to train machine learning models, however, are difficult to obtain in the clinical environment. Hence we propose a dementia classification method using transfer learning. The main focus of our research is to train a machine learning model using an accurately labeled source image cohort and an unlabeled target image cohort jointly, and then use this model to label the unlabeled target cohort. We show the effectiveness of this knowledge transfer approach by comparing the proposed method to several other methods on public and private image cohorts.","1945-8452","978-1-5386-3636-7978-1-5386-3635-0978-1-5386-3637","10.1109/ISBI.2018.8363869","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363869","Dementia;Alzheimer's disease;FDG-PET;transfer learning;clustering","Support vector machines;Kernel;Dementia;Task analysis;Australia;Positron emission tomography","brain;diseases;image classification;learning (artificial intelligence);medical disorders;medical image processing;neurophysiology;positron emission tomography","cross-cohort dementia identification;transfer learning;FDG-PET imaging;dementia syndromes;PET brain scans;machine learning models;dementia classification method;public image;private image","","","21","","","","","IEEE","IEEE Conferences"
"Theft Gang Discovery Using Co-offending Knowledge and SNA","F. Ozgul; H. Aksoy; C. Bowerman","NA; NA; NA","2008 12th International Conference Information Visualisation","","2008","","","347","348","A link mining study on a theft network is done in cooperation with Bursa Police Department in Turkey on more than 100,000 crimes and 6,000 persons. Group Detection Model (GDM) is based on co-occurrences of offenders in police arrest records for generating possible theft networks. Out of thousands of groups detected, only 63 ad-hoc theft groups are selected and introduced to the police experts. To evaluate these findings, one theft network is focused, a preliminary judge decision is obtained for phone tapping and group members phone conversations are eavesdropped for ten weeks. After verification of evidences, Operation Cash is launched. The police arrested 17 people, recovered worth $200,000 of stolen goods, and cash worth $180,000. Conviction and evidence showed that ruling members in offender networks can be detected using GDM. GDM uses a graph generative model and Social Network Analysis (SNA) for link mining in crime data.","1550-6037;2375-0138","978-0-7695-3268","10.1109/IV.2008.102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4577971","group detection;graph mining;social network analysis","","data mining;police data processing;security;social aspects of automation","theft gang discovery;co-offending knowledge;theft network;group detection model;ad hoc theft group;graph generative model;social network analysis;crime data link mining","","1","5","","","","","IEEE","IEEE Conferences"
"On the use of positional proximity in IR-based feature location","E. Hill; B. Sisman; A. Kak","Department of Computer Science Montclair State University Montclair, NJ, USA; School of Electrical and Computer Engineering Purdue University West Lafayette, IN, USA; School of Electrical and Computer Engineering Purdue University West Lafayette, IN, USA","2014 Software Evolution Week - IEEE Conference on Software Maintenance, Reengineering, and Reverse Engineering (CSMR-WCRE)","","2014","","","318","322","As software systems continue to grow and evolve, locating code for software maintenance tasks becomes increasingly difficult. Recently proposed approaches to bug localization and feature location have suggested using the positional proximity of words in the source code files and the bug reports to determine the relevance of a file to a query. Two different types of approaches have emerged for incorporating word proximity and order in retrieval: those based on ad-hoc considerations and those based on Markov Random Field (MRF) modeling. In this paper, we explore using both these types of approaches to identify over 200 features in five open source Java systems. In addition, we use positional proximity of query words within natural language (NL) phrases in order to capture the NL semantics of positional proximity. As expected, our results indicate that the power of these approaches varies from one dataset to another. However, the variations are larger for the ad-hoc positional-proximity based approaches than with the approach based on MRF. In other words, the feature location results are more consistent across the datasets with MRF based modeling of the features.","","978-1-4799-3752","10.1109/CSMR-WCRE.2014.6747185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6747185","feature location;source code search;software maintenance","Natural languages;Information retrieval;Software maintenance;Markov random fields;Java;Semantics","Java;Markov processes;natural language processing;software maintenance","ad-hoc positional proximity;IR-based feature location;software maintenance;bug localization;word proximity;Markov random field;MRF modeling;Java system;query word;natural language semantics;NL semantics","","1","24","","","","","IEEE","IEEE Conferences"
"Fuzzy set training for sleep apnea classification","D. E. Dow; I. Hayashi","Department of Electrical Engineering and Technology Wentworth Institute of Technology, 550 Huntington Avenue, Boston, Massachusetts, 02115, USA; Faculty of Informatics, Kansai University, Takatsuki, 2-1-1, Ryozenji-cho, Osaka, 569-1095, Japan","2017 Joint 17th World Congress of International Fuzzy Systems Association and 9th International Conference on Soft Computing and Intelligent Systems (IFSA-SCIS)","","2017","","","1","6","Untreated sleep apnea may result in higher risk for daytime drowsiness, heart conditions, high blood pressure, stroke, reduced cognitive function, and development of dementia. Polysomnography is the primary diagnostic tool for sleep apnea, but the cost and uncomfortable environment hinder diagnosis in many individuals. Home-based sleep monitoring systems would increase accessibility and comfort, but require robust signal analysis for quality analysis. Machine learning has been applied for sleep apnea classification, but more improvements would enhance effectiveness. In this study a Fuzzy set system with tuning was developed for classification of sleep apnea or hypopnea events during sleep for individuals at risk of sleep apnea. Annotation files from a sleep study available on Physionet database were analyzed for classification of sleep disruption events. The performance of the developed fuzzy set algorithm was compared with classification by other machine learning algorithms using the Weka system. Improved algorithms for classification of sleep events would be useful toward development of sleep monitoring systems that potentially would encourage individuals with sleep events to seek treatment.","","978-1-5090-4917-2978-1-5090-4918","10.1109/IFSA-SCIS.2017.8023291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8023291","respiration;hypopnea;sleep monitoring;physionet;machine learning;self adaptation;tuning;supervised training;python","Sleep apnea;Training;Tuning;Monitoring;Classification algorithms;Machine learning algorithms;Testing","fuzzy set theory;medical diagnostic computing;medical disorders;patient monitoring;patient treatment;pattern classification;sleep","fuzzy set training;sleep apnea classification;daytime drowsiness;heart conditions;high blood pressure;stroke;reduced cognitive function;dementia;fuzzy set system;hypopnea events;Physionet database;sleep disruption events;Weka system;sleep monitoring systems;patient treatment","","","25","","","","","IEEE","IEEE Conferences"
"An Empirical Evaluation of Deep Learning for Network Anomaly Detection","R. K. Malaiya; D. Kwon; J. Kim; S. C. Suh; H. Kim; I. Kim","Texas A&M University, Commerce, TX, 75428, USA; Texas A&M University, Commerce, TX, 75428, USA; Texas A&M University, Commerce, TX, 75428, USA; Texas A&M University, Commerce, TX, 75428, USA; ETRI, Daejeon, 34129, Korea; ETRI, Daejeon, 34129, Korea","2018 International Conference on Computing, Networking and Communications (ICNC)","","2018","","","893","898","Deep learning has been given a great deal of attention with its success story in many areas such as image analysis and speech recognition. In particular, deep learning is good at dealing with high-dimensional data exhibiting non-linearity. Our preliminary study reveals a very high degree of non-linearity from network traffic data, which explains why it is hard to improve the detection accuracy by using conventional machine learning techniques (e.g., SVM, Random Forest, Ad-aboosting). In this study, we empirically evaluate deep learning to see its feasibility for network anomaly detection. We examine a set of deep learning models constructed based on the Fully Connected Network (FCN), Variational AutoEncoder (VAE), and Long Short-Term Memory with Sequence to Sequence (LSTM Seq2Seq) structures, with two public traffic data sets that have distinctive properties with respect to the distribution of normal and attack populations. Our experimental results confirm the potential of deep learning models for network anomaly detection, and the model based on the LSTM Seq2Seq structure shows a highly promising performance, yielding 99% of binary classification accuracy on the public data sets.","","978-1-5386-3652-7978-1-5386-3651-0978-1-5386-3653","10.1109/ICCNC.2018.8390278","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390278","","Machine learning;Anomaly detection;Data models;Training;Numerical models;Computational modeling;Performance evaluation","learning (artificial intelligence);neural nets;pattern classification","public traffic data sets;deep learning models;network anomaly detection;LSTM Seq2Seq structure;public data sets;image analysis;speech recognition;high-dimensional data exhibiting nonlinearity;network traffic data;Fully Connected Network;long short-term memory with sequence structures","","2","26","","","","","IEEE","IEEE Conferences"
"Enhancing Sentiment Analysis of Financial News by Detecting Negation Scopes","N. Pröllochs; S. Feuerriegel; D. Neumann","NA; NA; NA","2015 48th Hawaii International Conference on System Sciences","","2015","","","959","968","Sentiment analysis refers to the extraction of the polarity of source materials, such as financial news. However, measuring positive tone requires the correct classification of sentences that are negated, i.e. The negation scopes. For example, around 4.74% of all sentences in German ad hoc announcements contain negations. To predict the corresponding negation scope, related literature commonly utilizes two approaches, namely, rule-based algorithms and machine learning. Nevertheless, a thorough comparison is missing, especially for the sentiment analysis of financial news. To close this gap, this paper uses German ad hoc announcements as a common example of financial news in order to pursue a two-sided evaluation. First, we compare the predictive performance using a manually-labeled dataset. Second, we examine how detecting negation scopes can improve the accuracy of sentiment analysis. In this instance, rule-based algorithms produce superior results, resulting in an improvement of up to 9.80% in the correlation between news sentiment and stock market returns.","1530-1605","978-1-4799-7367","10.1109/HICSS.2015.119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7069923","","Hidden Markov models;Sentiment analysis;Prediction algorithms;Algorithm design and analysis;Speech;Machine learning algorithms;Computational modeling","knowledge based systems;learning (artificial intelligence);pattern classification;text analysis","financial news sentiment analysis enhancement;negation scope detection;source material polarity extraction;positive tone measurement;sentence classification;negated sentences;German ad-hoc announcements;rule-based algorithms;machine learning;two-sided evaluation;predictive performance;manually-labeled dataset;sentiment analysis accuracy improvement;stock market returns","","8","28","","","","","IEEE","IEEE Conferences"
"An Empirical Approach to Modeling Uncertainty in Intrusion Analysis","X. Ou; S. R. Rajagopalan; S. Sakthivelmurugan","NA; NA; NA","2009 Annual Computer Security Applications Conference","","2009","","","494","503","Uncertainty is an innate feature of intrusion analysis due to the limited views provided by system monitoring tools, intrusion detection systems (IDS), and various types of logs. Attackers are essentially invisible in cyber space and monitoring tools can only observe the symptoms or effects of malicious activities. When mingled with similar effects from normal or non-malicious activities they lead intrusion analysis to conclusions of varying confidence and high false positive/negative rates. This paper presents an empirical approach to the problem of uncertainty where the inferred security implications of low-level observations are captured in a simple logical language augmented with certainty tags. We have designed an automated reasoning process that enables us to combine multiple sources of system monitoring data and extract highly-confident attack traces from the numerous possible interpretations of low-level observations. We have developed our model empirically: the starting point was a true intrusion that happened on a campus network that we studied to capture the essence of the human reasoning process that led to conclusions about the attack. We then used a Datalog-like language to encode the model and a Prolog system to carry out the reasoning process. Our model and reasoning system reached the same conclusions as the human administrator on the question of which machines were certainly compromised. We then automatically generated the reasoning model needed for handling Snort alerts from the natural-language descriptions in the Snort rule repository, and developed a Snort add-on to analyze Snort alerts. Keeping the reasoning model unchanged, we applied our reasoning system to two third-party data sets and one production network. Our results showed that the reasoning model is effective on these data sets as well. We believe such an empirical approach has the potential of codifying the seemingly ad-hoc human reasoning of uncertain events, and can yield useful tools for automated intrusion analysis.","1063-9527","978-1-4244-5327-6978-0-7695-3919","10.1109/ACSAC.2009.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5380706","intrusion detection;uncertainty;logic","Uncertainty;Intrusion detection;Humans;Data security;Computerized monitoring;Forensics;Computer security;Application software;Data mining;Production systems","inference mechanisms;security of data","uncertainty;system monitoring tools;intrusion detection system;malicious activities;logical language;automated reasoning process;system monitoring data;Datalog-like language;Prolog system;reasoning system;reasoning model;natural language description;Snort rule repository;Snort add-on;Snort alerts;ad hoc human reasoning;uncertain events;automated intrusion analysis","","9","23","","","","","IEEE","IEEE Conferences"
"Personalities Mining of Community Users Based on the Ontology Semantic Analysis","W. Yu; T. Xiong","NA; NA","2011 Second International Conference on Innovations in Bio-inspired Computing and Applications","","2011","","","383","388","Community marketing,whose core of precision marketing, is pushingthe advertisement to the users who really need it.In this article, through building the feature model and interest model of users , we use ontology analysis and semantic mining to analyse behavior characteristics,statement and comments,concerned content etc,and finally dynamically build the real feature attribut and interest set of community users. In addition, we use reasoning under uncertainty to deduce users' feature and interest. Our experiment demonstrate that this method peformance good accuracy on users' feature attribute and interest set.","","978-1-4577-1219-7978-0-7695-4606","10.1109/IBICA.2011.100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6118766","Web Community;user model;pattern matching","Communities;Speech;Correlation;Education;Entropy;Accuracy;Ontologies","advertising data processing;consumer behaviour;data mining;inference mechanisms;ontologies (artificial intelligence);semantic networks","community user personalities mining;ontology semantic analysis;community marketing;semantic mining;behavior analysis;feature attribute;interest set","","","7","","","","","IEEE","IEEE Conferences"
"Finding structured gene signatures","S. Mosci; A. Barla; A. Verri; L. Rosasco","DIFI -DISI, Università degli Studi di Genova, via Dodecaneso 35, I-16146, Italy; DISI, Università degli Studi di Genova, via Dodecaneso 35, I-16146, Italy; DISI, Università degli Studi di Genova, via Dodecaneso 35, I-16146, Italy; CBCL - Department of Brain and Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, 02139, USA","2008 IEEE International Conference on Bioinformatics and Biomeidcine Workshops","","2008","","","158","165","In the context of gene signature identification from microarray data, a main problem is devising statistical and visual tools to interpret and understand the biological meaning of the selected genes. Most available statistical tools for gene signature extraction typically provide unstructured list of genes and lack the capability of handling correlation among genes. Recently an algorithm for feature selection, namely elastic net, was proposed allowing to deal with correlated genes in a transparent way. In this work we exploit the form of the output given by elastic net, as used in De Mol et al. (2007), to obtain a structured gene signature where genes are disposed in block of intra-correlated genes and the blocks are ranked according to a measure of the block discriminative power. After recalling how elastic net can be used to define nested lists of increasingly intra-correlated genes, we propose an ad hoc agglomerative clustering technique able to refine such a nested output by explicitly identifying modules of correlated genes. We take advantage of such a structure to visualize the correlation patterns underlying the data. The proposed procedure is validated on both synthetic data and applied to real gene expression datasets.","","978-1-4244-2890","10.1109/BIBMW.2008.4686230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4686230","","Input variables;Gene expression;Biology;Data mining;Power measurement;Data visualization;Biological processes;Genomics;Bioinformatics;Time measurement","biology computing;data analysis;genetics;pattern clustering;statistical analysis","structured gene signatures;gene signature identification;microarray data;statistical tool;visual tool;block discriminative power;ad hoc agglomerative clustering technique","","1","14","","","","","IEEE","IEEE Conferences"
"Semi-supervised Chinese compound word extraction based on HMM","Hui He; Bo Chen; Jun Guo","School of Information Engineering, Beijing University of Posts and Telecommunications, China, 100876; School of Information Engineering, Beijing University of Posts and Telecommunications, China, 100876; School of Information Engineering, Beijing University of Posts and Telecommunications, China, 100876","2008 7th World Congress on Intelligent Control and Automation","","2008","","","2077","2081","In natural languages, compound words play an important role and their automatically extraction is very helpful in information retrieval, information extraction and text classification. We introduce a semi-supervised Chinese compound extraction approach based on HMM using bootstrapping in this paper. First, we define a set of tags BEMI {beginning, end, middle, independence}, which means the position of words in compounds. Then we employ HMM to extract compounds automatically in BEMI tagging algorithm. We rank the Compounds extracted from corpus by their word frequency and length in descending order, and add top N compounds in seed compounds list. The algorithm learns more Chinese compounds from corpus by bootstrapping. Experimental results show that this approach get much higher performance than unsupervised one. Different from those extracted by traditional methods, these Chinese compounds contain category information, which can be used in text classification/clustering as features. Also, this approach can be applied in keyword recommendation system in advertisement for different kinds of advertisers because of its expansibility and versatility.","","978-1-4244-2113-8978-1-4244-2114","10.1109/WCICA.2008.4593244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4593244","Compound word extraction;Hidden Markov models;Bootstrapping;BEMI tagging algorithm","Compounds;Data mining;Tagging;Hidden Markov models;Mathematical model;Feature extraction;Equations","hidden Markov models;natural languages;text analysis","semi-supervised Chinese compound word extraction;HMM;natural language;information retrieval;information extraction;text classification;bootstrapping;BEMI tagging algorithm;keyword recommendation system","","","8","","","","","IEEE","IEEE Conferences"
"Automated Functional and Behavioral Health Assessment of Older Adults with Dementia","M. A. U. Alam; N. Roy; S. Holmes; A. Gangopadhyay; E. Galik","NA; NA; NA; NA; NA","2016 IEEE First International Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)","","2016","","","140","149","Dementia is a clinical syndrome of cognitive deficits that involves both memory and functional impairments. While disruptions in cognition is a striking feature of dementia, it is also closely coupled with changes in functional and behavioral health of older adults. In this paper, we investigate the challenges of improving the automatic assessment of dementia, by better exploiting the emerging physiological sensors in conjunction with ambient sensors in a real field environment with IRB approval. We hypothesize that the cognitive health of older individuals can be estimated by tracking their daily activities and mental arousal states. We employ signal processing on wearable sensor data streams (e.g., Electrodermal Activity (EDA), Photoplethysmogram (PPG), accelerometer (ACC)) and machine learning algorithms to assess cognitive impairments and its correlation with functional health decline. To validate our approach, we quantify the score of machine learning, survey and observation based Activities of Daily Living (ADLs) and signal processing based mental arousal state, respectively for functional and behavioral health measures among 17 older adults living in a continuing care retirement community in Baltimore. We compare clinically observed scores with technology guided automated scores using both machine learning and statistical techniques.","","978-1-5090-0943-5978-1-5090-0944","10.1109/CHASE.2016.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7545827","activity recognition;cognitive analysis;pervasive computing;signal processing","Biomedical monitoring;Dementia;Monitoring;Skin;Sensors;Smart homes;Heart rate","biosensors;cognition;learning (artificial intelligence);medical disorders;medical signal processing;ubiquitous computing","pervasive computing;ADLs;activities of daily living;machine learning algorithms;ACC;accelerometer;PPG;photoplethysmogram;EDA;electrodermal activity;wearable sensor data streams;signal processing;mental arousal states;cognitive analysis;IRB approval;ambient sensors;physiological sensors;functional impairment;memory impairment;clinical syndrome;dementia;older adult;behavioral health assessment;functional health assessment","","12","43","","","","","IEEE","IEEE Conferences"
"Early Detection of Lower MMSE Scores in Elderly Based on Dual-Task Gait","K. Aoki; T. T. Ngo; I. Mitsugami; F. Okura; M. Niwa; Y. Makihara; Y. Yagi; H. Kazui","Department of Intelligent Media, Institute of Scientific and Industrial Research, Osaka University, Osaka, Japan; Department of Intelligent Media, Institute of Scientific and Industrial Research, Osaka University, Osaka, Japan; Graduate School of Information Sciences, Hiroshima City University, Hiroshima, Japan; Department of Intelligent Media, Institute of Scientific and Industrial Research, Osaka University, Osaka, Japan; Institute for Datability Science, Osaka University, Osaka, Japan; Department of Intelligent Media, Institute of Scientific and Industrial Research, Osaka University, Osaka, Japan; Department of Intelligent Media, Institute of Scientific and Industrial Research, Osaka University, Osaka, Japan; Department of Neuropsychiatry, Kochi Medical School Hospital, Kōochi University, Nankoku, Japan","IEEE Access","","2019","7","","40085","40094","The dual-task paradigm is a promising procedure for estimating cognitive status and may also be collaterally used to reduce cognitive decline and prevent dementia. In this paper, we use the mini-mental state exam (MMSE) to the assess cognitive status in the elderly as a reference and investigate the potential of using machine learning for early detecting cognitive impairment in the elderly. Although many studies have suggested that dual-task performance, in which participants perform a cognitive task while walking, is associated with cognition, they only considered the correlation between cognitive parameters and simple gait feature, such as gait speed, through the statistical analysis. We instead use a Kinect sensor to capture participants’ whole-body movements and extract a rich gait feature that has the ability to exhibit different tendencies of movements between healthy and cognitive-impaired elderlies. In our experiments, a classifier based on the dual-task gait feature achieved a higher performance than the one based on the single-task feature; the performance of the rich gait feature was better than that of a simple one, and; an optimal detection performance was achieved with an MMSE cutoff score of 25. We positively validated that the proposed method could early detect elderly with lower MMSE scores based on dual-task gait feature with a promising performance. Our approach can support early and automated diagnosis of cognitive impairment.","2169-3536","","10.1109/ACCESS.2019.2906908","JST CREST through the Behavior Understanding based on Intention-Gait Model Project; JST-Mirai Research and Development Program—Personal Activity Metrics (PAMs): Health Management by Walking; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672859","Cognitive impairment;dual-task;elderly;machine learning;signal processing","Feature extraction;Senior citizens;Task analysis;Legged locomotion;Atmospheric measurements;Particle measurements;Dementia","","","","","43","","","","","IEEE","IEEE Journals & Magazines"
"Web-analysis: stripping away the hype","M. Monticino","North Texas Univ., Denton, TX, USA","Computer","","1998","31","12","130","132","Web sites provide a tremendous opportunity to learn more about the interests of customers, whether those customers are potential buyers visiting a commercial site, students browsing a university's Web page, or citizens logging onto a city's home page. In conjunction with cookie, registration, platform, and access information, we can learn a great deal about users by tracking their item-by-item click histories-or clickstreams. We can then use this information to customize sites dynamically and target ads for higher click-through rates. Maybe. Stripped of all the hype and the buzzwords, inferring the interests and preferences of site visitors is a market research problem. It is a market research problem with some very challenging data management and statistical analysis issues. And unless we address the basic tenets of market research-including the fundamentals of data analysis-site analysis can turn out to be a tremendous loss of time and money as well as a missed opportunity for using some valuable information.","0018-9162;1558-0814","","10.1109/2.735854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=735854","","Educational institutions;Sampling methods;Predictive models;Probability;Internet;Computer science;Market research;Speech analysis;Data mining;Information analysis","information resources;information analysis;marketing","Web sites;market research;site analysis;click histories;clickstreams;data management;statistical analysis","","1","","","","","","IEEE","IEEE Journals & Magazines"
"Scalable and distributed submodular maximization with matroid constraints","A. Clark; B. Alomair; L. Bushnell; R. Poovendran","Department of Electrical and Computer Engineering, Worcester Polytechnic Institute, Worcester, WA 01609 USA; National Center for Cybersecurity Technology, King Abdulaziz City for Science and Technology, Riyadh, Saudi Arabia; Department of Electrical Engineering, University of Washington, Seattle, WA 98195 USA; Department of Electrical Engineering, University of Washington, Seattle, WA 98195 USA","2015 13th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks (WiOpt)","","2015","","","435","442","Submodular maximization enables efficient approximation of machine learning, networking, and language processing problems. Typically, these problems have been shown to have matroid constraints, which generalize matching and partition conditions. Developing scalable, distributed submodular optimization algorithms that guarantee the same performance as centralized techniques has been an active area of research. In this paper, we address the problem of developing scalable distributed algorithms for submodular maximization with a matroid constraint. Our key step is to construct an auxiliary function from the submodular objective function, and develop distributed exchange-based algorithms for optimizing the auxiliary function. We first introduce a distributed algorithm for maximizing a submodular function with a matroid constraint. We then develop an algorithm for maximizing time-varying submodular functions under partition matroid constraints, which arises in sensor placement and data caching. We prove that both algorithms provide (1-1/e) optimality bounds, and hence achieve the same guarantees as the best centralized algorithms.","","978-3-9018-8274","10.1109/WIOPT.2015.7151103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7151103","","Partitioning algorithms;Distributed algorithms;Clocks;Optimization;Linear programming;Wireless networks;Synchronization","combinatorial mathematics;distributed algorithms;learning (artificial intelligence);matrix algebra;optimisation","scalable distributed submodular maximization algorithm;matroid constraints;distributed exchange-based algorithms;time-varying submodular functions;centralized algorithms;(1-1/e) optimality bounds;sensor placement;data caching;efficient approximation;machine learning;language processing problems","","5","15","","","","","IEEE","IEEE Conferences"
