Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Using artificial neural networks to select the parameters for the prognostic of mild cognitive impairment and dementia in elderly individuals.","/pubmed/29054264","Lins AJCC, Muniz MTC, Garcia ANM, Gomes AV, Cabral RM, Bastos-Filho CJA.","Comput Methods Programs Biomed. 2017 Dec;152:93-104. doi: 10.1016/j.cmpb.2017.09.013. Epub 2017 Sep 20.","Comput Methods Programs Biomed.  2017","PubMed","citation","PMID:29054264","pubmed","29054264","create date:2017/10/22 | first author:Lins AJCC",
"A New Approach to Predict user Mobility Using Semantic Analysis and Machine Learning.","/pubmed/29052021","Fernandes R, D'Souza G L R.","J Med Syst. 2017 Oct 19;41(12):188. doi: 10.1007/s10916-017-0837-x.","J Med Syst.  2017","PubMed","citation","PMID:29052021","pubmed","29052021","create date:2017/10/21 | first author:Fernandes R",
"Eyetracking metrics reveal impaired spatial anticipation in behavioural variant frontotemporal dementia.","/pubmed/29031740","Primativo S, Clark C, Yong KXX, Firth NC, Nicholas J, Alexander D, Warren JD, Rohrer JD, Crutch SJ.","Neuropsychologia. 2017 Nov;106:328-340. doi: 10.1016/j.neuropsychologia.2017.10.014. Epub 2017 Oct 12.","Neuropsychologia.  2017","PubMed","citation","PMID:29031740","pubmed","29031740","create date:2017/10/17 | first author:Primativo S",
"Combined PET/MRI: Global Warming-Summary Report of the 6th International Workshop on PET/MRI, March 27-29, 2017, Tübingen, Germany.","/pubmed/28971346","Bailey DL, Pichler BJ, Gückel B, Antoch G, Barthel H, Bhujwalla ZM, Biskup S, Biswal S, Bitzer M, Boellaard R, Braren RF, Brendle C, Brindle K, Chiti A, la Fougère C, Gillies R, Goh V, Goyen M, Hacker M, Heukamp L, Knudsen GM, Krackhardt AM, et al.","Mol Imaging Biol. 2018 Feb;20(1):4-20. doi: 10.1007/s11307-017-1123-5.","Mol Imaging Biol.  2018","PubMed","citation","PMID:28971346 | PMCID:PMC5775351","pubmed","28971346","create date:2017/10/04 | first author:Bailey DL",
"Combining SPECT and Quantitative EEG Analysis for the Automated Differential Diagnosis of Disorders with Amnestic Symptoms.","/pubmed/28936173","Höller Y, Bathke AC, Uhl A, Strobl N, Lang A, Bergmann J, Nardone R, Rossini F, Zauner H, Kirschner M, Jahanbekam A, Trinka E, Staffen W.","Front Aging Neurosci. 2017 Sep 7;9:290. doi: 10.3389/fnagi.2017.00290. eCollection 2017.","Front Aging Neurosci.  2017","PubMed","citation","PMID:28936173 | PMCID:PMC5594223","pubmed","28936173","create date:2017/09/25 | first author:Höller Y",
"Identifying combinatorial biomarkers by association rule mining in the CAMD Alzheimer's database.","/pubmed/28918286","Szalkai B, Grolmusz VK, Grolmusz VI; Coalition Against Major Diseases..","Arch Gerontol Geriatr. 2017 Nov;73:300-307. doi: 10.1016/j.archger.2017.08.006. Epub 2017 Aug 17.","Arch Gerontol Geriatr.  2017","PubMed","citation","PMID:28918286","pubmed","28918286","create date:2017/09/18 | first author:Szalkai B",
"Decline of insulin therapy and delays in insulin initiation in people with uncontrolled diabetes mellitus.","/pubmed/28905434","Hosomura N, Malmasi S, Timerman D, Lei VJ, Zhang H, Chang L, Turchin A.","Diabet Med. 2017 Nov;34(11):1599-1602. doi: 10.1111/dme.13454. Epub 2017 Sep 14.","Diabet Med.  2017","PubMed","citation","PMID:28905434","pubmed","28905434","create date:2017/09/15 | first author:Hosomura N",
"Binswanger's disease: biomarkers in the inflammatory form of vascular cognitive impairment and dementia.","/pubmed/28902409","Rosenberg GA.","J Neurochem. 2018 Mar;144(5):634-643. doi: 10.1111/jnc.14218. Epub 2017 Nov 6. Review.","J Neurochem.  2018","PubMed","citation","PMID:28902409 | PMCID:PMC5849485","pubmed","28902409","create date:2017/09/14 | first author:Rosenberg GA",
"Machine-learning Support to Individual Diagnosis of Mild Cognitive Impairment Using Multimodal MRI and Cognitive Assessments.","/pubmed/28891818","De Marco M, Beltrachini L, Biancardi A, Frangi AF, Venneri A.","Alzheimer Dis Assoc Disord. 2017 Oct-Dec;31(4):278-286. doi: 10.1097/WAD.0000000000000208.","Alzheimer Dis Assoc Disord.  2017","PubMed","citation","PMID:28891818","pubmed","28891818","create date:2017/09/12 | first author:De Marco M",
"Identification of associations between genotypes and longitudinal phenotypes via temporally-constrained group sparse canonical correlation analysis.","/pubmed/28881979","Hao X, Li C, Yan J, Yao X, Risacher SL, Saykin AJ, Shen L, Zhang D; Alzheimer’s Disease Neuroimaging Initiative..","Bioinformatics. 2017 Jul 15;33(14):i341-i349. doi: 10.1093/bioinformatics/btx245.","Bioinformatics.  2017","PubMed","citation","PMID:28881979 | PMCID:PMC5870577","pubmed","28881979","create date:2017/09/09 | first author:Hao X",
"Development/Testing of a Monitoring System Assisting MCI Patients: The European Project INLIFE.","/pubmed/28873856","Kaimakamis E, Karavidopoulou V, Kilintzis V, Stefanopoulos L, Papageorgiou V.","Stud Health Technol Inform. 2017;242:583-586.","Stud Health Technol Inform.  2017","PubMed","citation","PMID:28873856","pubmed","28873856","create date:2017/09/07 | first author:Kaimakamis E",
"Advancing Alzheimer's research: A review of big data promises.","/pubmed/28870383","Zhang R, Simon G, Yu F.","Int J Med Inform. 2017 Oct;106:48-56. doi: 10.1016/j.ijmedinf.2017.07.002. Epub 2017 Jul 24. Review.","Int J Med Inform.  2017","PubMed","citation","PMID:28870383 | PMCID:PMC5590222","pubmed","28870383","create date:2017/09/06 | first author:Zhang R",
"Feature selection before EEG classification supports the diagnosis of Alzheimer's disease.","/pubmed/28866471","Trambaiolli LR, Spolaôr N, Lorena AC, Anghinah R, Sato JR.","Clin Neurophysiol. 2017 Oct;128(10):2058-2067. doi: 10.1016/j.clinph.2017.06.251. Epub 2017 Jul 14.","Clin Neurophysiol.  2017","PubMed","citation","PMID:28866471","pubmed","28866471","create date:2017/09/04 | first author:Trambaiolli LR",
"Multi-modal discriminative dictionary learning for Alzheimer's disease and mild cognitive impairment.","/pubmed/28859825","Li Q, Wu X, Xu L, Chen K, Yao L, Li R.","Comput Methods Programs Biomed. 2017 Oct;150:1-8. doi: 10.1016/j.cmpb.2017.07.003. Epub 2017 Jul 18.","Comput Methods Programs Biomed.  2017","PubMed","citation","PMID:28859825","pubmed","28859825","create date:2017/09/02 | first author:Li Q",
"Use of Speech Analyses within a Mobile Application for the Assessment of Cognitive Impairment in Elderly People.","/pubmed/28847279","Konig A, Satt A, Sorin A, Hoory R, Derreumaux A, David R, Robert PH.","Curr Alzheimer Res. 2018;15(2):120-129. doi: 10.2174/1567205014666170829111942.","Curr Alzheimer Res.  2018","PubMed","citation","PMID:28847279","pubmed","28847279","create date:2017/08/30 | first author:Konig A",
"Artificial grammar learning in vascular and progressive non-fluent aphasias.","/pubmed/28843341","Cope TE, Wilson B, Robson H, Drinkall R, Dean L, Grube M, Jones PS, Patterson K, Griffiths TD, Rowe JB, Petkov CI.","Neuropsychologia. 2017 Sep;104:201-213. doi: 10.1016/j.neuropsychologia.2017.08.022. Epub 2017 Aug 24.","Neuropsychologia.  2017","PubMed","citation","PMID:28843341 | PMCID:PMC5637161","pubmed","28843341","create date:2017/08/28 | first author:Cope TE",
"Informatics Support for Basic Research in Biomedicine.","/pubmed/28838071","Rindflesch TC, Blake CL, Fiszman M, Kilicoglu H, Rosemblat G, Schneider J, Zeiss CJ.","ILAR J. 2017 Jul 1;58(1):80-89. doi: 10.1093/ilar/ilx004. Review.","ILAR J.  2017","PubMed","citation","PMID:28838071 | PMCID:PMC5886329","pubmed","28838071","create date:2017/08/26 | first author:Rindflesch TC",
"Eyetracking Metrics in Young Onset Alzheimer's Disease: A Window into Cognitive Visual Functions.","/pubmed/28824534","Pavisic IM, Firth NC, Parsons S, Rego DM, Shakespeare TJ, Yong KXX, Slattery CF, Paterson RW, Foulkes AJM, Macpherson K, Carton AM, Alexander DC, Shawe-Taylor J, Fox NC, Schott JM, Crutch SJ, Primativo S.","Front Neurol. 2017 Aug 7;8:377. doi: 10.3389/fneur.2017.00377. eCollection 2017.","Front Neurol.  2017","PubMed","citation","PMID:28824534 | PMCID:PMC5545969","pubmed","28824534","create date:2017/08/22 | first author:Pavisic IM",
"Enhanced Data Representation by Kernel Metric Learning for Dementia Diagnosis.","/pubmed/28798659","Cárdenas-Peña D, Collazos-Huertas D, Castellanos-Dominguez G.","Front Neurosci. 2017 Jul 26;11:413. doi: 10.3389/fnins.2017.00413. eCollection 2017.","Front Neurosci.  2017","PubMed","citation","PMID:28798659 | PMCID:PMC5526982","pubmed","28798659","create date:2017/08/12 | first author:Cárdenas-Peña D",
"Multi-Kernel Learning with Dartel Improves Combined MRI-PET Classification of Alzheimer's Disease in AIBL Data: Group and Individual Analyses.","/pubmed/28790908","Youssofzadeh V, McGuinness B, Maguire LP, Wong-Lin K.","Front Hum Neurosci. 2017 Jul 25;11:380. doi: 10.3389/fnhum.2017.00380. eCollection 2017. Erratum in: Front Hum Neurosci. 2017 Sep 08;11:457. ","Front Hum Neurosci.  2017","PubMed","citation","PMID:28790908 | PMCID:PMC5524673","pubmed","28790908","create date:2017/08/10 | first author:Youssofzadeh V",
"A nonparametric Bayesian method of translating machine learning scores to probabilities in clinical decision support.","/pubmed/28784111","Connolly B, Cohen KB, Santel D, Bayram U, Pestian J.","BMC Bioinformatics. 2017 Aug 7;18(1):361. doi: 10.1186/s12859-017-1736-3.","BMC Bioinformatics.  2017","PubMed","citation","PMID:28784111 | PMCID:PMC5545857","pubmed","28784111","create date:2017/08/09 | first author:Connolly B",
"Machine-learning classification of 22q11.2 deletion syndrome: A diffusion tensor imaging study.","/pubmed/28761808","Tylee DS, Kikinis Z, Quinn TP, Antshel KM, Fremont W, Tahir MA, Zhu A, Gong X, Glatt SJ, Coman IL, Shenton ME, Kates WR, Makris N.","Neuroimage Clin. 2017 May 11;15:832-842. doi: 10.1016/j.nicl.2017.04.029. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28761808 | PMCID:PMC5522376","pubmed","28761808","create date:2017/08/02 | first author:Tylee DS",
"Identifying incipient dementia individuals using machine learning and amyloid imaging.","/pubmed/28756942","Mathotaarachchi S, Pascoal TA, Shin M, Benedet AL, Kang MS, Beaudry T, Fonov VS, Gauthier S, Rosa-Neto P; Alzheimer's Disease Neuroimaging Initiative..","Neurobiol Aging. 2017 Nov;59:80-90. doi: 10.1016/j.neurobiolaging.2017.06.027. Epub 2017 Jul 11.","Neurobiol Aging.  2017","PubMed","citation","PMID:28756942","pubmed","28756942","create date:2017/08/02 | first author:Mathotaarachchi S",
"AV-1451 PET imaging of tau pathology in preclinical Alzheimer disease: Defining a summary measure.","/pubmed/28756238","Mishra S, Gordon BA, Su Y, Christensen J, Friedrichsen K, Jackson K, Hornbeck R, Balota DA, Cairns NJ, Morris JC, Ances BM, Benzinger TLS.","Neuroimage. 2017 Nov 1;161:171-178. doi: 10.1016/j.neuroimage.2017.07.050. Epub 2017 Jul 26.","Neuroimage.  2017","PubMed","citation","PMID:28756238 | PMCID:PMC5696044","pubmed","28756238","create date:2017/08/02 | first author:Mishra S",
"Neuroimaging Feature Terminology: A Controlled Terminology for the Annotation of Brain Imaging Features.","/pubmed/28731430","Iyappan A, Younesi E, Redolfi A, Vrooman H, Khanna S, Frisoni GB, Hofmann-Apitius M; Alzheimer’s Disease Neuroimaging Initiative..","J Alzheimers Dis. 2017;59(4):1153-1169. doi: 10.3233/JAD-161148.","J Alzheimers Dis.  2017","PubMed","citation","PMID:28731430 | PMCID:PMC5611802","pubmed","28731430","create date:2017/07/22 | first author:Iyappan A",
"Feature selective temporal prediction of Alzheimer's disease progression using hippocampus surface morphometry.","/pubmed/28729939","Tsao S, Gajawelli N, Zhou J, Shi J, Ye J, Wang Y, Leporé N.","Brain Behav. 2017 Jun 9;7(7):e00733. doi: 10.1002/brb3.733. eCollection 2017 Jul.","Brain Behav.  2017","PubMed","citation","PMID:28729939 | PMCID:PMC5516607","pubmed","28729939","create date:2017/07/22 | first author:Tsao S",
"Learning-based structurally-guided construction of resting-state functional correlation tensors.","/pubmed/28729016","Zhang L, Zhang H, Chen X, Wang Q, Yap PT, Shen D.","Magn Reson Imaging. 2017 Nov;43:110-121. doi: 10.1016/j.mri.2017.07.008. Epub 2017 Jul 17.","Magn Reson Imaging.  2017","PubMed","citation","PMID:28729016 | PMCID:PMC5632586","pubmed","28729016","create date:2017/07/22 | first author:Zhang L",
"Predicting progression of mild cognitive impairment to dementia using neuropsychological data: a supervised learning approach using time windows.","/pubmed/28724366","Pereira T, Lemos L, Cardoso S, Silva D, Rodrigues A, Santana I, de Mendonça A, Guerreiro M, Madeira SC.","BMC Med Inform Decis Mak. 2017 Jul 19;17(1):110. doi: 10.1186/s12911-017-0497-2.","BMC Med Inform Decis Mak.  2017","PubMed","citation","PMID:28724366 | PMCID:PMC5517828","pubmed","28724366","create date:2017/07/21 | first author:Pereira T",
"Diagnosis of Dementia by Machine learning methods in Epidemiological studies: a pilot exploratory study from south India.","/pubmed/28698926","Bhagyashree SIR, Nagaraj K, Prince M, Fall CHD, Krishna M.","Soc Psychiatry Psychiatr Epidemiol. 2018 Jan;53(1):77-86. doi: 10.1007/s00127-017-1410-0. Epub 2017 Jul 11.","Soc Psychiatry Psychiatr Epidemiol.  2018","PubMed","citation","PMID:28698926 | PMCID:PMC6138240","pubmed","28698926","create date:2017/07/13 | first author:Bhagyashree SIR",
"Distinguishing early and late brain aging from the Alzheimer's disease spectrum: consistent morphological patterns across independent samples.","/pubmed/28666881","Doan NT, Engvig A, Zaske K, Persson K, Lund MJ, Kaufmann T, Cordova-Palomera A, Alnæs D, Moberget T, Brækhus A, Barca ML, Nordvik JE, Engedal K, Agartz I, Selbæk G, Andreassen OA, Westlye LT; Alzheimer's Disease Neuroimaging Initiative..","Neuroimage. 2017 Sep;158:282-295. doi: 10.1016/j.neuroimage.2017.06.070. Epub 2017 Jun 27.","Neuroimage.  2017","PubMed","citation","PMID:28666881","pubmed","28666881","create date:2017/07/02 | first author:Doan NT",
"Extraction of dynamic functional connectivity from brain grey matter and white matter for MCI classification.","/pubmed/28665045","Chen X, Zhang H, Zhang L, Shen C, Lee SW, Shen D.","Hum Brain Mapp. 2017 Oct;38(10):5019-5034. doi: 10.1002/hbm.23711. Epub 2017 Jun 30.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28665045 | PMCID:PMC5593789","pubmed","28665045","create date:2017/07/01 | first author:Chen X",
"Machine learning and microsimulation techniques on the prognosis of dementia: A systematic literature review.","/pubmed/28662070","Dallora AL, Eivazzadeh S, Mendes E, Berglund J, Anderberg P.","PLoS One. 2017 Jun 29;12(6):e0179804. doi: 10.1371/journal.pone.0179804. eCollection 2017. Review.","PLoS One.  2017","PubMed","citation","PMID:28662070 | PMCID:PMC5491044","pubmed","28662070","create date:2017/07/01 | first author:Dallora AL",
"Imaging plus X: multimodal models of neurodegenerative disease.","/pubmed/28520598","Oxtoby NP, Alexander DC; EuroPOND consortium..","Curr Opin Neurol. 2017 Aug;30(4):371-379. doi: 10.1097/WCO.0000000000000460. Review.","Curr Opin Neurol.  2017","PubMed","citation","PMID:28520598 | PMCID:PMC5491241","pubmed","28520598","create date:2017/05/19 | first author:Oxtoby NP",
"Neuropsychological Testing and Machine Learning Distinguish Alzheimer's Disease from Other Causes for Cognitive Impairment.","/pubmed/28487650","Gurevich P, Stuke H, Kastrup A, Stuke H, Hildebrandt H.","Front Aging Neurosci. 2017 Apr 25;9:114. doi: 10.3389/fnagi.2017.00114. eCollection 2017.","Front Aging Neurosci.  2017","PubMed","citation","PMID:28487650 | PMCID:PMC5403832","pubmed","28487650","create date:2017/05/11 | first author:Gurevich P",
"Brain-predicted age in Down syndrome is associated with beta amyloid deposition and cognitive decline.","/pubmed/28482213","Cole JH, Annus T, Wilson LR, Remtulla R, Hong YT, Fryer TD, Acosta-Cabronero J, Cardenas-Blanco A, Smith R, Menon DK, Zaman SH, Nestor PJ, Holland AJ.","Neurobiol Aging. 2017 Aug;56:41-49. doi: 10.1016/j.neurobiolaging.2017.04.006. Epub 2017 Apr 18.","Neurobiol Aging.  2017","PubMed","citation","PMID:28482213 | PMCID:PMC5476346","pubmed","28482213","create date:2017/05/10 | first author:Cole JH",
"Toward the Automation of Diagnostic Conversation Analysis in Patients with Memory Complaints.","/pubmed/28436388","Mirheidari B, Blackburn D, Harkness K, Walker T, Venneri A, Reuber M, Christensen H.","J Alzheimers Dis. 2017;58(2):373-387. doi: 10.3233/JAD-160507.","J Alzheimers Dis.  2017","PubMed","citation","PMID:28436388","pubmed","28436388","create date:2017/04/25 | first author:Mirheidari B",
"A review on neuroimaging-based classification studies and associated feature extraction methods for Alzheimer's disease and its prodromal stages.","/pubmed/28414186","Rathore S, Habes M, Iftikhar MA, Shacklett A, Davatzikos C.","Neuroimage. 2017 Jul 15;155:530-548. doi: 10.1016/j.neuroimage.2017.03.057. Epub 2017 Apr 13. Review.","Neuroimage.  2017","PubMed","citation","PMID:28414186 | PMCID:PMC5511557","pubmed","28414186","create date:2017/04/18 | first author:Rathore S",
"Progressive Graph-Based Transductive Learning for Multi-modal Classification of Brain Disorder Disease.","/pubmed/28386606","Wang Z, Zhu X, Adeli E, Zhu Y, Zu C, Nie F, Shen D, Wu G.","Med Image Comput Comput Assist Interv. 2016 Oct;9900:291-299. doi: 10.1007/978-3-319-46720-7_34. Epub 2016 Oct 2.","Med Image Comput Comput Assist Interv.  2016","PubMed","citation","PMID:28386606 | PMCID:PMC5380237","pubmed","28386606","create date:2017/04/08 | first author:Wang Z",
"EliIE: An open-source information extraction system for clinical trial eligibility criteria.","/pubmed/28379377","Kang T, Zhang S, Tang Y, Hruby GW, Rusanov A, Elhadad N, Weng C.","J Am Med Inform Assoc. 2017 Nov 1;24(6):1062-1071. doi: 10.1093/jamia/ocx019.","J Am Med Inform Assoc.  2017","PubMed","citation","PMID:28379377 | PMCID:PMC6259668","pubmed","28379377","create date:2017/04/06 | first author:Kang T",
"Enriching consumer health vocabulary through mining a social Q&A site: A similarity-based approach.","/pubmed/28359728","He Z, Chen Z, Oh S, Hou J, Bian J.","J Biomed Inform. 2017 May;69:75-85. doi: 10.1016/j.jbi.2017.03.016. Epub 2017 Mar 27.","J Biomed Inform.  2017","PubMed","citation","PMID:28359728 | PMCID:PMC5488691","pubmed","28359728","create date:2017/04/01 | first author:He Z",
"A Hierarchical Feature and Sample Selection Framework and Its Application for Alzheimer's Disease Diagnosis.","/pubmed/28358032","An L, Adeli E, Liu M, Zhang J, Lee SW, Shen D.","Sci Rep. 2017 Mar 30;7:45269. doi: 10.1038/srep45269.","Sci Rep.  2017","PubMed","citation","PMID:28358032 | PMCID:PMC5372170","pubmed","28358032","create date:2017/03/31 | first author:An L",
"Discriminating cognitive status in Parkinson's disease through functional connectomics and machine learning.","/pubmed/28349948","Abós A, Baggio HC, Segura B, García-Díaz AI, Compta Y, Martí MJ, Valldeoriola F, Junqué C.","Sci Rep. 2017 Mar 28;7:45347. doi: 10.1038/srep45347.","Sci Rep.  2017","PubMed","citation","PMID:28349948 | PMCID:PMC5368610","pubmed","28349948","create date:2017/03/30 | first author:Abós A",
"Predicting behavioral variant frontotemporal dementia with pattern classification in multi-center structural MRI data.","/pubmed/28348957","Meyer S, Mueller K, Stuke K, Bisenius S, Diehl-Schmid J, Jessen F, Kassubek J, Kornhuber J, Ludolph AC, Prudlo J, Schneider A, Schuemberg K, Yakushev I, Otto M, Schroeter ML; FTLDc Study Group..","Neuroimage Clin. 2017 Feb 6;14:656-662. doi: 10.1016/j.nicl.2017.02.001. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28348957 | PMCID:PMC5357695","pubmed","28348957","create date:2017/03/30 | first author:Meyer S",
"Distinguishing age-related cognitive decline from dementias: A study based on machine learning algorithms.","/pubmed/28347685","Er F, Iscen P, Sahin S, Çinar N, Karsidag S, Goularas D.","J Clin Neurosci. 2017 Aug;42:186-192. doi: 10.1016/j.jocn.2017.03.021. Epub 2017 Mar 24.","J Clin Neurosci.  2017","PubMed","citation","PMID:28347685","pubmed","28347685","create date:2017/03/30 | first author:Er F",
"Recent publications from the Alzheimer's Disease Neuroimaging Initiative: Reviewing progress toward improved AD clinical trials.","/pubmed/28342697","Weiner MW, Veitch DP, Aisen PS, Beckett LA, Cairns NJ, Green RC, Harvey D, Jack CR Jr, Jagust W, Morris JC, Petersen RC, Saykin AJ, Shaw LM, Toga AW, Trojanowski JQ; Alzheimer's Disease Neuroimaging Initiative..","Alzheimers Dement. 2017 Apr;13(4):e1-e85. doi: 10.1016/j.jalz.2016.11.007. Epub 2017 Mar 22. Review.","Alzheimers Dement.  2017","PubMed","citation","PMID:28342697","pubmed","28342697","create date:2017/03/28 | first author:Weiner MW",
"Diagnosis of autism through EEG processed by advanced computational algorithms: A pilot study.","/pubmed/28325448","Grossi E, Olivieri C, Buscema M.","Comput Methods Programs Biomed. 2017 Apr;142:73-79. doi: 10.1016/j.cmpb.2017.02.002. Epub 2017 Feb 20.","Comput Methods Programs Biomed.  2017","PubMed","citation","PMID:28325448","pubmed","28325448","create date:2017/03/23 | first author:Grossi E",
"Ensemble Classification of Alzheimer's Disease and Mild Cognitive Impairment Based on Complex Graph Measures from Diffusion Tensor Images.","/pubmed/28293162","Ebadi A, Dalboni da Rocha JL, Nagaraju DB, Tovar-Moll F, Bramati I, Coutinho G, Sitaram R, Rashidi P.","Front Neurosci. 2017 Feb 28;11:56. doi: 10.3389/fnins.2017.00056. eCollection 2017.","Front Neurosci.  2017","PubMed","citation","PMID:28293162 | PMCID:PMC5329061","pubmed","28293162","create date:2017/03/16 | first author:Ebadi A",
"Mining Outcome-relevant Brain Imaging Genetic Associations via Three-way Sparse Canonical Correlation Analysis in Alzheimer's Disease.","/pubmed/28291242","Hao X, Li C, Du L, Yao X, Yan J, Risacher SL, Saykin AJ, Shen L, Zhang D; Alzheimer’s Disease Neuroimaging Initiative..","Sci Rep. 2017 Mar 14;7:44272. doi: 10.1038/srep44272.","Sci Rep.  2017","PubMed","citation","PMID:28291242 | PMCID:PMC5349597","pubmed","28291242","create date:2017/03/16 | first author:Hao X",
"Predicting conversion from MCI to AD using resting-state fMRI, graph theoretical approach and SVM.","/pubmed/28286064","Hojjati SH, Ebrahimzadeh A, Khazaee A, Babajani-Feremi A; Alzheimer’s Disease Neuroimaging Initiative..","J Neurosci Methods. 2017 Apr 15;282:69-80. doi: 10.1016/j.jneumeth.2017.03.006. Epub 2017 Mar 9.","J Neurosci Methods.  2017","PubMed","citation","PMID:28286064","pubmed","28286064","create date:2017/03/14 | first author:Hojjati SH",
"Prediction and classification of Alzheimer disease based on quantification of MRI deformation.","/pubmed/28264071","Long X, Chen L, Jiang C, Zhang L; Alzheimer’s Disease Neuroimaging Initiative..","PLoS One. 2017 Mar 6;12(3):e0173372. doi: 10.1371/journal.pone.0173372. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28264071 | PMCID:PMC5338815","pubmed","28264071","create date:2017/03/07 | first author:Long X",
"Classification of Alzheimer's disease and prediction of mild cognitive impairment-to-Alzheimer's conversion from structural magnetic resource imaging using feature ranking and a genetic algorithm.","/pubmed/28260614","Beheshti I, Demirel H, Matsuda H; Alzheimer's Disease Neuroimaging Initiative..","Comput Biol Med. 2017 Apr 1;83:109-119. doi: 10.1016/j.compbiomed.2017.02.011. Epub 2017 Feb 27.","Comput Biol Med.  2017","PubMed","citation","PMID:28260614","pubmed","28260614","create date:2017/03/07 | first author:Beheshti I",
"Optimizing Neuropsychological Assessments for Cognitive, Behavioral, and Functional Impairment Classification: A Machine Learning Study.","/pubmed/28255200","Battista P, Salvatore C, Castiglioni I.","Behav Neurol. 2017;2017:1850909. doi: 10.1155/2017/1850909. Epub 2017 Jan 31.","Behav Neurol.  2017","PubMed","citation","PMID:28255200 | PMCID:PMC5307249","pubmed","28255200","create date:2017/03/04 | first author:Battista P",
"DTI measurements for Alzheimer's classification.","/pubmed/28234631","Maggipinto T, Bellotti R, Amoroso N, Diacono D, Donvito G, Lella E, Monaco A, Antonella Scelsi M, Tangaro S.","Phys Med Biol. 2017 Mar 21;62(6):2361-2375. doi: 10.1088/1361-6560/aa5dbe. Epub 2017 Feb 24.","Phys Med Biol.  2017","PubMed","citation","PMID:28234631","pubmed","28234631","create date:2017/02/25 | first author:Maggipinto T",
"Deep ensemble learning of sparse regression models for brain disease diagnosis.","/pubmed/28167394","Suk HI, Lee SW, Shen D; Alzheimer’s Disease Neuroimaging Initiative..","Med Image Anal. 2017 Apr;37:101-113. doi: 10.1016/j.media.2017.01.008. Epub 2017 Jan 24.","Med Image Anal.  2017","PubMed","citation","PMID:28167394 | PMCID:PMC5808465","pubmed","28167394","create date:2017/02/09 | first author:Suk HI",
"Spatial and dynamical handwriting analysis in mild cognitive impairment.","/pubmed/28126631","Kawa J, Bednorz A, Stępień P, Derejczyk J, Bugdol M.","Comput Biol Med. 2017 Mar 1;82:21-28. doi: 10.1016/j.compbiomed.2017.01.004. Epub 2017 Jan 11.","Comput Biol Med.  2017","PubMed","citation","PMID:28126631","pubmed","28126631","create date:2017/01/28 | first author:Kawa J",
"Differential diagnosis of mild cognitive impairment and Alzheimer's disease using structural MRI cortical thickness, hippocampal shape, hippocampal texture, and volumetry.","/pubmed/28119818","Sørensen L, Igel C, Pai A, Balas I, Anker C, Lillholm M, Nielsen M; Alzheimer’s Disease Neuroimaging Initiative and the Australian Imaging Biomarkers and Lifestyle flagship study of ageing..","Neuroimage Clin. 2016 Dec 7;13:470-482. doi: 10.1016/j.nicl.2016.11.025. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28119818 | PMCID:PMC5237821","pubmed","28119818","create date:2017/01/26 | first author:Sørensen L",
"Rey's Auditory Verbal Learning Test scores can be predicted from whole brain MRI in Alzheimer's disease.","/pubmed/28116234","Moradi E, Hallikainen I, Hänninen T, Tohka J; Alzheimer's Disease Neuroimaging Initiative..","Neuroimage Clin. 2016 Dec 18;13:415-427. doi: 10.1016/j.nicl.2016.12.011. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28116234 | PMCID:PMC5233798","pubmed","28116234","create date:2017/01/25 | first author:Moradi E",
"Multimodal Neuroimaging Feature Learning With Multimodal Stacked Deep Polynomial Networks for Diagnosis of Alzheimer's Disease.","/pubmed/28113353","Shi J, Zheng X, Li Y, Zhang Q, Ying S.","IEEE J Biomed Health Inform. 2018 Jan;22(1):173-183. doi: 10.1109/JBHI.2017.2655720. Epub 2017 Jan 19.","IEEE J Biomed Health Inform.  2018","PubMed","citation","PMID:28113353","pubmed","28113353","create date:2017/01/24 | first author:Shi J",
"Relational-Regularized Discriminative Sparse Learning for Alzheimer's Disease Diagnosis.","/pubmed/28092591","Lei B, Yang P, Wang T, Chen S, Ni D.","IEEE Trans Cybern. 2017 Apr;47(4):1102-1113. doi: 10.1109/TCYB.2016.2644718. Epub 2017 Jan 16.","IEEE Trans Cybern.  2017","PubMed","citation","PMID:28092591","pubmed","28092591","create date:2017/01/17 | first author:Lei B",
"Predicting probable Alzheimer's disease using linguistic deficits and biomarkers.","/pubmed/28088191","Orimaye SO, Wong JS, Golden KJ, Wong CP, Soyiri IN.","BMC Bioinformatics. 2017 Jan 14;18(1):34. doi: 10.1186/s12859-016-1456-0.","BMC Bioinformatics.  2017","PubMed","citation","PMID:28088191 | PMCID:PMC5237556","pubmed","28088191","create date:2017/01/16 | first author:Orimaye SO",
