PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Frame, Amie; LaMantia, Michael; Reddy Bynagari, Bharath B; Dexter, Paul; Boustani, Malaz								Development and Implementation of an Electronic Decision Support to Manage the Health of a High-Risk Population: The enhanced Electronic Medical Record Aging Brain Care Software (eMR-ABC).								EGEMS (Washington, DC)				1	1			1009	1009		10.13063/2327-9214.1009					2013	2013										3	0	0	0	0	3			2327-9214			MEDLINE:25848560	25848560	
J	Igual, Laura; Soliva, Joan Carles; Escalera, Sergio; Gimeno, Roger; Vilarroya, Oscar; Radeva, Petia				Escalera, Sergio/L-2998-2015; Igual, Laura/H-5606-2015; Radeva, Petia/I-3385-2015; vilarroya, oscar/K-7021-2013	Escalera, Sergio/0000-0003-0617-8873; Igual, Laura/0000-0002-7225-7441; Radeva, Petia/0000-0003-0047-5172; Vilarroya, Oscar/0000-0001-8285-5624			Automatic brain caudate nuclei segmentation and classification in diagnostic of Attention-Deficit/Hyperactivity Disorder								COMPUTERIZED MEDICAL IMAGING AND GRAPHICS				36	8			591	600		10.1016/j.compmedimag.2012.08.002					DEC 2012	2012										11	1	0	5	0	12			0895-6111			WOS:000311661900002	22959658	
J	Takci, Hidayet; Gungor, Tunga				Gungor, Tunga/H-7103-2012				A high performance centroid-based classification approach for language identification								PATTERN RECOGNITION LETTERS				33	16			2077	2084		10.1016/j.patrec.2012.06.012					DEC 1 2012	2012										24	0	0	0	0	24			0167-8655			WOS:000311260000003		
J	Fatima, Nakhat; Wu, Xiaojun; Zheng, Thomas Fang								Speech Unit Category based Short Utterance Speaker Recognition								COMPUTER SCIENCE AND INFORMATION SYSTEMS				9	4	SI		1407	1430		10.2298/CSIS120208053F					DEC 2012	2012										1	0	0	0	0	1			1820-0214			WOS:000314392000004		
J	Alvarez Illan, Ignacio; Manuel Gorriz, Juan; Ramirez, Javier; Lang, Elmar W.; Salas-Gonzalez, Diego; Puntonet, Carlos G.				Gorriz, Juan M./C-2385-2012; Puntonet, Carlos/B-1837-2012; Ramirez, Javier/B-1836-2012; Illan, Ignacio/L-9186-2014; Salas-Gonzalez, Diego/H-5847-2015; Prieto, Ignacio/B-5361-2013	Gorriz, Juan M./0000-0001-7069-1714; Ramirez, Javier/0000-0002-6229-2921; Illan, Ignacio/0000-0002-5094-8911; Salas-Gonzalez, Diego/0000-0001-5618-7140; Puntonet, Carlos G./0000-0001-6886-5535			Bilateral symmetry aspects in computer-aided Alzheimer's disease diagnosis by single-photon emission-computed tomography imaging								ARTIFICIAL INTELLIGENCE IN MEDICINE				56	3			191	198		10.1016/j.artmed.2012.09.005					NOV 2012	2012										5	1	0	1	0	6			0933-3657			WOS:000313225100004	23158839	
J	Greco, Ines; Day, Nicola; Riddoch-Contreras, Joanna; Reed, Jane; Soininen, Hilkka; Kloszewska, Iwona; Tsolaki, Magda; Vellas, Bruno; Spenger, Christian; Mecocci, Patrizia; Wahlund, Lars-Olof; Simmons, Andrew; Barnes, Julie; Lovestone, Simon				Simmons, Andrew/B-8848-2008	Simmons, Andrew/0000-0003-2306-5811; Mecocci, Patrizia/0000-0003-0729-5246; Lovestone, Simon/0000-0003-0473-4565; Greco, Ines/0000-0002-2348-3688; Reed, Jane/0000-0002-6773-6237; wahlund, lars-olof/0000-0002-9905-8426			Alzheimer's disease biomarker discovery using in silico literature mining and clinical validation								JOURNAL OF TRANSLATIONAL MEDICINE				10						217	10.1186/1479-5876-10-217					OCT 31 2012	2012										14	0	0	11	0	14			1479-5876			WOS:000311796600001	23113945	
J	Maragoudakis, Manolis; Lyras, Dimitrios P.; Sgarbas, Kyriakos								BAYESIAN RETRIEVAL USING A SIMILARITY-BASED LEMMATIZER								INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS				21	5	SI				1250024	10.1142/S0218213012500248					OCT 2012	2012										0	0	0	0	0	0			0218-2130	1793-6349		WOS:000310637200010		
J	Zanin, Massimiliano; Sousa, Pedro; Papo, David; Bajo, Ricardo; Garcia-Prieto, Juan; del Pozo, Francisco; Menasalvas, Ernestina; Boccaletti, Stefano				Garcia-Prieto, Juan/P-3468-2014; DEL POZO GUERRERO, FRANCISCO/H-6668-2015	Garcia-Prieto, Juan/0000-0002-6797-8711; DEL POZO GUERRERO, FRANCISCO/0000-0001-9919-9125; Papo, David/0000-0003-1889-2791; menasalvas, ernestina/0000-0002-5615-6798; Zanin, Massimiliano/0000-0002-5839-0393			Optimizing Functional Network Representation of Multivariate Time Series								SCIENTIFIC REPORTS				2						630	10.1038/srep00630					SEP 5 2012	2012										37	2	0	14	0	39			2045-2322			WOS:000308431500001	22953051	
J	Terai, A.; Nakagawa, M.								A corpus-based computational model of metaphor understanding consisting of two processes								COGNITIVE SYSTEMS RESEARCH				19-20				30	38		10.1016/j.cogsys.2012.03.001					SEP-OCT 2012	2012										3	0	0	0	1	4			1389-0417			WOS:000305336500002		
J	Prado-Prado, Francisco; Garcia-Mera, Xerardo				Garcia-Mera, Xerardo/E-4294-2012	Garcia-Mera, Xerardo/0000-0001-5218-6351; Prado-Prado, Francisco Javier/0000-0002-2411-7727			QSAR Models for Computer-Aided Drug Design and Molecular Docking for Disorders of the Central Nervous System and Other Diseases								CURRENT TOPICS IN MEDICINAL CHEMISTRY				12	16			1731	1733							AUG 2012	2012										4	0	0	3	0	4			1568-0266	1873-4294		WOS:000311140100001	23030608	
J	Liu, Song; Greenstein, Larry J.; Trappe, Wade; Chen, Yingying				Chen, Yingying/C-5049-2019	Chen, Yingying/0000-0002-3994-766X			Detecting anomalous spectrum usage in dynamic spectrum access networks								AD HOC NETWORKS				10	5	SI		831	844		10.1016/j.adhoc.2011.04.003					JUL 2012	2012										7	1	0	0	0	8			1570-8705			WOS:000303075200009		
J	Araujo de Carvalho, Elias Cesar; Batilana, Adelia Portero; Claudino, Wederson; Lima Reis, Luiz Fernando; Schmerling, Rafael A.; Shah, Jatin; Pietrobon, Ricardo				Reis, Luiz/C-4556-2013	Reis, Luiz/0000-0002-4040-2456			Workflow in Clinical Trial Sites & Its Association with Near Miss Events for Data Quality: Ethnographic, Workflow & Systems Simulation								PLOS ONE				7	6					e39671	10.1371/journal.pone.0039671					JUN 29 2012	2012										5	0	0	1	0	5			1932-6203			WOS:000305892100075	22768105	
J	Rigutini, Leonardo; Diligenti, Michelangelo; Maggini, Marco; Gori, Marco					Rigutini, Leonardo/0000-0002-6309-2542			AUTOMATIC GENERATION OF CROSSWORD PUZZLES								INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS				21	3	SI				1250014	10.1142/S0218213012500145					JUN 2012	2012										0	0	0	0	0	0			0218-2130	1793-6349		WOS:000305795900009		
J	Chang, Timothy S.; Coen, Michael H.; La Rue, Asenath; Jonaitis, Erin; Koscik, Rebecca L.; Hermann, Bruce; Sager, Mark A.								Machine Learning Amplifies the Effect of Parental Family History of Alzheimer's Disease on List Learning Strategy								JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY				18	3			428	439		10.1017/S1355617711001834					MAY 2012	2012										3	0	0	1	0	3			1355-6177			WOS:000303690500005	22321601	
J	Haubold, Alexander; Peterson, Bradley S.; Bansal, Ravi								Annual Research Review: Progress in using brain morphometry as a clinical tool for diagnosing psychiatric disorders								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				53	5			519	535		10.1111/j.1469-7610.2012.02539.x					MAY 2012	2012										13	1	0	12	0	14			0021-9630	1469-7610		WOS:000302462800006	22394424	
J	Orru, Graziella; Pettersson-Yeo, William; Marquand, Andre F.; Sartori, Giuseppe; Mechelli, Andrea				Marquand, Andre/B-6050-2012	Marquand, Andre/0000-0001-5903-203X; Sartori, Giuseppe/0000-0002-6026-0133			Using Support Vector Machine to identify imaging biomarkers of neurological and psychiatric disease: A critical review								NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS				36	4			1140	1152		10.1016/j.neubiorev.2012.01.004					APR 2012	2012										378	5	1	208	1	385			0149-7634	1873-7528		WOS:000302970900004	22305994	
J	Chu, Carlton; Hsu, Ai-Ling; Chou, Kun-Hsien; Bandettini, Peter; Lin, ChingPo		Alzheimer's Dis Neuroimaging		Kowall, Neil/G-6364-2012; Saykin, Andrew/A-1318-2007; Bandettini, Peter/F-5871-2012; Preda, Adrian/K-8889-2013	Kowall, Neil/0000-0002-6624-0213; Saykin, Andrew/0000-0002-1376-8532; Preda, Adrian/0000-0003-3373-2438			Does feature selection improve classification accuracy? Impact of sample size and feature selection on classification using anatomical magnetic resonance images								NEUROIMAGE				60	1			59	70		10.1016/j.neuroimage.2011.11.066					MAR 2012	2012										131	3	0	70	0	135			1053-8119	1095-9572		WOS:000301218700007	22166797	
J	O'Dwyer, Laurence; Lamberton, Franck; Bokde, Arun L. W.; Ewers, Michael; Faluyi, Yetunde O.; Tanner, Colby; Mazoyer, Bernard; O'Neill, Desmond; Bartley, Mairead; Collins, D. Ronan; Coughlan, Tara; Prvulovic, David; Hampel, Harald				Mazoyer, Bernard/B-6303-2012; Tanner, Colby/H-4653-2012; O'Dwyer, Laurence/J-1699-2012; O'Neill, Desmond/D-1486-2013	Mazoyer, Bernard/0000-0003-0970-2837; O'Neill, Desmond/0000-0002-5542-9897			Using Support Vector Machines with Multiple Indices of Diffusion for Automated Classification of Mild Cognitive Impairment								PLOS ONE				7	2					e32441	10.1371/journal.pone.0032441					FEB 23 2012	2012										51	1	0	19	0	51			1932-6203			WOS:000302916100082	22384251	
J	Toga, Arthur W.								The Clinical Value of Large Neuroimaging Data Sets in Alzheimer's Disease								NEUROIMAGING CLINICS OF NORTH AMERICA				22	1			107	+		10.1016/j.nic.2011.11.008					FEB 2012	2012										7	2	0	3	0	9			1052-5149			WOS:000300523200011	22284737	
J	Chen, Rong; Resnick, Susan M.; Davatzikos, Christos; Herskovits, Edward H.				Chen, Robert/B-3899-2009	Chen, Robert/0000-0002-8371-8629; Davatzikos, Christos/0000-0002-1025-8561			Dynamic Bayesian network modeling for longitudinal brain morphometry								NEUROIMAGE				59	3			2330	2338		10.1016/j.neuroimage.2011.09.023					FEB 1 2012	2012										20	0	0	11	0	20			1053-8119			WOS:000299494000035	21963916	
J	Chen, R; Young, K; Chao, L L; Miller, B; Yaffe, K; Weiner, M W; Herskovits, E H					Chao, Linda/0000-0002-8593-2434			Prediction of conversion from mild cognitive impairment to Alzheimer disease based on bayesian data mining with ensemble learning.								The neuroradiology journal				25	1			5	16		10.1177/197140091202500101					2012-Mar	2012										5	0	0	4	0	5			1971-4009			MEDLINE:24028870	24028870	
J	Zhang, Daoqiang; Shen, Dinggang		Alzheimer's Dis Neuroimaging		Zhang, Daoqiang/D-3754-2011	Zhang, Daoqiang/0000-0002-5658-7643			Multi-modal multi-task learning for joint prediction of multiple regression and classification variables in Alzheimer's disease								NEUROIMAGE				59	2			895	907		10.1016/j.neuroimage.2011.09.069					JAN 16 2012	2012										225	11	0	96	0	236			1053-8119	1095-9572		WOS:000298210600005	21992749	
S	Chaves, R.; Ramirez, J.; Gorriz, J. M.; Illan, I. A.; Salas-Gonzalez, D.		Alzheimers Dis Neuroimaging		Salas-Gonzalez, Diego/H-5847-2015; Ramirez, Javier/B-1836-2012; Illan, Ignacio/L-9186-2014; Gorriz, Juan M./C-2385-2012	Salas-Gonzalez, Diego/0000-0001-5618-7140; Ramirez, Javier/0000-0002-6229-2921; Illan, Ignacio/0000-0002-5094-8911; Gorriz, Juan M./0000-0001-7069-1714	Yu, B		FDG and PIB Biomarker PET Analysis for the Alzheimer's Disease Detection Using Association Rules								2012 IEEE NUCLEAR SCIENCE SYMPOSIUM AND MEDICAL IMAGING CONFERENCE RECORD (NSS/MIC)		IEEE Nuclear Science Symposium and Medical Imaging Conference						2576	2579							2012	2012						IEEE Nuclear Science Symposium / Medical Imaging Conference Record (NSS/MIC) / 19th Room-Temperature Semiconductor X-ray and Gamma-ray Detector WorkshopIEEE Nuclear Science Symposium / Medical Imaging Conference Record (NSS/MIC) / 19th Room-Temperature Semiconductor X-ray and Gamma-ray Detector Workshop	OCT 29-NOV 03, 2012OCT 29-NOV 03, 2012	IEEE; IEEE Nucl & Plasma Sci SocIEEE; IEEE Nucl & Plasma Sci Soc	Anaheim, CAAnaheim, CA	4	0	0	1	0	4			1095-7863		978-1-4673-2030-6; 978-1-4673-2028-3	WOS:000326814202149		
S	Ovando Vazquez, Cesare M.						CondeGallardo, A; AyonBeato, E; GodinaNava, JJ; HernandezContreras, M; VelascoSevilla, L		Data Mining for the Analysis of Hippocampal Zones in Alzheimer's Disease								ADVANCED SUMMER SCHOOL IN PHYSICS 2011 (EAV 2011)		AIP Conference Proceedings		1420				71	77		10.1063/1.3678616					2012	2012						Advanced Summer School in PhysicsAdvanced Summer School in Physics	JUL 25-29, 2011JUL 25-29, 2011	Ctr Res & Adv Studies Natl Polytechn Inst; Mexican Acad Sci; Mexico-USA Fdn Sci & Technol; Mexico City Inst Sci & TechnolCtr Res & Adv Studies Natl Polytechn Inst; Mexican Acad Sci; Mexico-USA Fdn Sci & Technol; Mexico City Inst Sci & Technol	Mexico City, MEXICOMexico City, MEXICO	0	0	0	0	0	0			0094-243X		978-0-7354-0998-9	WOS:000301281900009		
S	Bacchelli, Alberto; Dal Sasso, Tommaso; D'Ambros, Marco; Lanza, Michele					Bacchelli, Alberto/0000-0003-0193-6823	Glinz, M; Murphy, G; Pezze, M		Content Classification of Development Emails								2012 34TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING (ICSE)		International Conference on Software Engineering						375	385							2012	2012						34th International Conference on Software Engineering (ICSE)34th International Conference on Software Engineering (ICSE)	JUN 02-09, 2012JUN 02-09, 2012	ACM Special Interest Grp Software Engn (SIGSOFT); IEEE Comp Soc Tech Council Software Engn (TCSE); Special Interest Grp Software Engn Swiss Informat Soc (SI-SE); Univ Zurich, Dept Informat; ACM; IEEE Comp SocACM Special Interest Grp Software Engn (SIGSOFT); IEEE Comp Soc Tech Council Software Engn (TCSE); Special Interest Grp Software Engn Swiss Informat Soc (SI-SE); Univ Zurich, Dept Informat; ACM; IEEE Comp Soc	Zurich, SWITZERLANDZurich, SWITZERLAND	34	1	0	0	0	35			0270-5257		978-1-4673-1067-3	WOS:000312908700035		
S	Diciotti, Stefano; Ginestroni, Andrea; Bessi, Valentina; Giannelli, Marco; Tessa, Carlo; Bracco, Laura; Mascalchi, Mario; Toschi, Nicola			IEEE	Toschi, Nicola/J-2555-2012; Diciotti, Stefano/C-4167-2008	Toschi, Nicola/0000-0003-1929-5833; Diciotti, Stefano/0000-0001-8778-7819			Identification of Mild Alzheimer's Disease through automated classification of structural MRI features								2012 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)		IEEE Engineering in Medicine and Biology Society Conference Proceedings						428	431							2012	2012						34th Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)34th Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)	AUG 28-SEP 01, 2012AUG 28-SEP 01, 2012	IEEE; Engn Med & Biol Soc (EMBS); CAS; SMC; PubMed; MEDLINEIEEE; Engn Med & Biol Soc (EMBS); CAS; SMC; PubMed; MEDLINE	San Diego, CASan Diego, CA	9	0	0	5	0	10			1557-170X		978-1-4577-1787-1	WOS:000313296500103	23365920	
B	Natarajan, Sriraam; Joshi, Saket; Saha, Baidya; Edwards, Adam; Khot, Tushar; Moody, Elizabeth; Kersting, Kristian; Whitlow, Christopher T.; Maldjian, Joseph A.					Edwards, Adam/0000-0002-6644-0071; Maldjian, Joseph/0000-0002-6384-1072	Wani, MA; Khoshgoftaar, T; Zhu, X; Seliya, N		A Machine Learning Pipeline for Three-way Classification of Alzheimer Patients from Structural Magnetic Resonance Images of the Brain								2012 11TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS (ICMLA 2012), VOL 1								203	208		10.1109/ICMLA.2012.42					2012	2012						11th IEEE International Conference on Machine Learning and Applications (ICMLA)11th IEEE International Conference on Machine Learning and Applications (ICMLA)	DEC 12-15, 2012DEC 12-15, 2012	IEEE; IEEE Comp Soc; AML&A; Florida Atlantic Univ; LexisNexisIEEE; IEEE Comp Soc; AML&A; Florida Atlantic Univ; LexisNexis	Boca Raton, FLBoca Raton, FL	0	0	0	0	0	0					978-0-7695-4913-2; 978-1-4673-4651-1	WOS:000427260500034		
S	Cho, Po-Chuan; Chen, Wen-Hui						Jayne, C; Yue, S; Iliadis, L		A Double Layer Dementia Diagnosis System Using Machine Learning Techniques								ENGINEERING APPLICATIONS OF NEURAL NETWORKS		Communications in Computer and Information Science		311				402	412							2012	2012						13th International Conference on Engineering Applications of Neural Networks13th International Conference on Engineering Applications of Neural Networks	SEP 20-23, 2012SEP 20-23, 2012		Coventry Univ, Otaniemi, FINLANDCoventry Univ, Otaniemi, FINLAND	0	0	0	0	0	0			1865-0929		978-3-642-32908-1	WOS:000312463700041		
J	Escudero, Javier; Ifeachor, Emmanuel; Zajicek, John P.		Alzheimer's Dis Neuroimaging Initi		Escudero, Javier/B-4185-2008	Escudero, Javier/0000-0002-2105-8725			Bioprofile Analysis: A New Approach for the Analysis of Biomedical Data in Alzheimer's Disease								JOURNAL OF ALZHEIMERS DISEASE				32	4			997	1010		10.3233/JAD-2012-121024					2012	2012										3	0	0	2	0	3			1387-2877	1875-8908		WOS:000311227200011	22886027	
S	Kujala, Janne V.; Nandi, Asoke K.								IMPROVED ESTIMATION OF PROBABILITIES IN PRONUNCIATION BY ANALOGY								2012 PROCEEDINGS OF THE 20TH EUROPEAN SIGNAL PROCESSING CONFERENCE (EUSIPCO)		European Signal Processing Conference						2797	2801							2012	2012						20th European Signal Processing Conference (EUSIPCO)20th European Signal Processing Conference (EUSIPCO)	AUG 27-31, 2012AUG 27-31, 2012		Bucharest, ROMANIABucharest, ROMANIA	0	0	0	0	0	0			2076-1465		978-1-4673-1068-0	WOS:000310623800563		
S	Bergamaschi, Sonia; Interlandi, Matteo; Longo, Mario; Po, Laura; Vincini, Maurizio			IEEE	Po, Laura/O-1860-2015; Bergamaschi, Sonia/L-3095-2015	Po, Laura/0000-0002-3345-176X; Bergamaschi, Sonia/0000-0001-8087-6587; Vincini, Maurizio/0000-0001-9262-2939			A meta-language for MDX queries in eLog Business Solution								2012 IEEE 28TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING (ICDE)		IEEE International Conference on Data Engineering						1417	1428		10.1109/ICDE.2012.100					2012	2012						28th IEEE International Conference on Data Engineering (ICDE)28th IEEE International Conference on Data Engineering (ICDE)	APR 01-05, 2012APR 01-05, 2012	IEEE; IEEE Comp Soc; Microsoft; Natl Sci Fdn (NSF); EMC; Greenplum; HP; IBM Res; GoogleIEEE; IEEE Comp Soc; Microsoft; Natl Sci Fdn (NSF); EMC; Greenplum; HP; IBM Res; Google	Washington, DCWashington, DC	1	0	0	0	0	1			1084-4627		*****************	WOS:000309122100147		
J	Liberati, Giulia; da Rocha, Josue Luiz Dalboni; van der Heiden, Linda; Raffone, Antonino; Birbaumer, Niels; Belardinelli, Marta Olivetti; Sitaram, Ranganatha				Olivetti, Marta/T-4540-2017	Olivetti, Marta/0000-0003-3169-3359; Liberati, Giulia/0000-0002-5684-4443; Sitaram, Ranganatha/0000-0002-8577-8035; Birbaumer, Niels/0000-0002-6786-5127			Toward a Brain-Computer Interface for Alzheimer's Disease Patients by Combining Classical Conditioning and Brain State Classification								JOURNAL OF ALZHEIMERS DISEASE				31				S211	S220		10.3233/JAD-2012-112129				3	2012	2012										8	0	0	2	0	8			1387-2877	1875-8908		WOS:000309185100016	22451316	
S	Sakai, Yoichi; Nonaka, Yuuko; Yasuda, Kiyoshi; Nakano, Yukiko I.			Assoc Comp Machinery					Listener Agent for Elderly People with Dementia								HRI'12: PROCEEDINGS OF THE SEVENTH ANNUAL ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION		ACMIEEE International Conference on Human-Robot Interaction						199	200							2012	2012						7th ACM/IEEE International Conference on Human-Robot Interaction (HRI)7th ACM/IEEE International Conference on Human-Robot Interaction (HRI)	MAR 05-08, 2012MAR 05-08, 2012	Assoc Comp Machinery; IEEE; ACM SIGCHI; ACM SIGART; HFES; AAAI; IEEE Robot & AutomatAssoc Comp Machinery; IEEE; ACM SIGCHI; ACM SIGART; HFES; AAAI; IEEE Robot & Automat	Boston, MABoston, MA	7	0	0	0	0	7			2167-2121		978-1-4503-1063-5	WOS:000393315300061		
S	Gappa, Henrike; Nordbrock, Gaby; Mohamad, Yehya; Pullmann, Jaroslav; Velasco, Carlos A.				Velasco, Carlos A./Z-1522-2018	Velasco, Carlos A./0000-0001-8342-4471	Miesenberger, K; Karshmer, A; Penaz, P; Zagler, W		Controlled Natural Language Sentence Building as a Model for Designing User Interfaces for Rule Editing in Assisted Living Systems - A User Study								COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS, PT II		Lecture Notes in Computer Science		7383				415	418							2012	2012						13th International Conference on Computers Helping People with Special Needs (ICCHP)13th International Conference on Computers Helping People with Special Needs (ICCHP)	JUL 11-13, 2012JUL 11-13, 2012	United Nat Educ, Sci & Cultural Org; European Disabil Forum; Johannes Kepler Univ LinzUnited Nat Educ, Sci & Cultural Org; European Disabil Forum; Johannes Kepler Univ Linz	Linz, AUSTRIALinz, AUSTRIA	1	0	0	0	0	1			0302-9743		978-3-642-31534-3	WOS:000334271900061		
J	Arnold, S. E.; Xie, S. X.; Leung, Y-Y; Wang, L-S; Kling, M. A.; Han, X.; Kim, E. J.; Wolk, D. A.; Bennett, D. A.; Chen-Plotkin, A.; Grossman, M.; Hu, W.; Lee, V. M-Y; Mackin, R. Scott; Trojanowski, J. Q.; Wilson, R. S.; Shaw, L. M.		Alzheimer's Dis Neuroimaging Initi		Arnold, Steven/J-7546-2012	Kling, Mitchel/0000-0002-2232-1409			Plasma biomarkers of depressive symptoms in older adults								TRANSLATIONAL PSYCHIATRY				2						e65	10.1038/tp.2011.63					JAN 2012	2012										31	0	0	18	0	31			2158-3188			WOS:000306217600001	22832727	
S	Dimitropoulos, Harry; Kllapi, Herald; Metaxas, Omiros; Oikonomidis, Nikolas; Sitaridi, Eva; Tsangaris, Manolis M.; Ioannidis, Yannis						Ailamaki, A; Bowers, S		AITION: A Scalable Platform for Interactive Data Mining								SCIENTIFIC AND STATISTICAL DATABASE MANAGEMENT, SSDBM 2012		Lecture Notes in Computer Science		7338				646	651							2012	2012						24th International Conference on Scientific and Statistical Database Management (SSDBM)24th International Conference on Scientific and Statistical Database Management (SSDBM)	JUN 25-27, 2012JUN 25-27, 2012	Bank Piraeus; Univ AthensBank Piraeus; Univ Athens	Chania, GREECEChania, GREECE	3	0	0	0	0	3			0302-9743		978-3-642-31235-9	WOS:000343420600051		
J	Soininen, Hilkka; Mattila, Jussi; Koikkalainen, Juha; van Gils, Mark; Simonsen, A. Hviid; Waldemar, Gunhild; Rueckert, Daniel; Thurfjell, Lennart; Lotjonen, Jyrki		Alzheimers Dis Neuroimaging		Rueckert, Daniel/C-4393-2008; Simonsen, Anja/M-3834-2014	Rueckert, Daniel/0000-0002-5683-5889; Simonsen, Anja Hviid/0000-0002-5461-162X			Software Tool for Improved Prediction of Alzheimer's Disease								NEURODEGENERATIVE DISEASES				10	1-4			149	152		10.1159/000332600					2012	2012						10th International Conference on Alzheimers and Parkinsons Diseases (AD/PD)10th International Conference on Alzheimers and Parkinsons Diseases (AD/PD)	MAR 09-13, 2011MAR 09-13, 2011		Barcelona, SPAINBarcelona, SPAIN	6	0	0	2	0	6			1660-2854			WOS:000303660600030	22156511	
J	Batmanghelich, Nematollah K.; Taskar, Ben; Davatzikos, Christos					Davatzikos, Christos/0000-0002-1025-8561			Generative-Discriminative Basis Learning for Medical Imaging								IEEE TRANSACTIONS ON MEDICAL IMAGING				31	1			51	69		10.1109/TMI.2011.2162961					JAN 2012	2012										28	3	0	11	0	31			0278-0062	1558-254X		WOS:000298782200004	21791408	
S	Dat Ba Nguyen; Son Bao Pham						Nguyen, NT; Hoang, K; Jedrzejowicz, P		Ripple Down Rules for Vietnamese Named Entity Recognition								COMPUTATIONAL COLLECTIVE INTELLIGENCE - TECHNOLOGIES AND APPLICATIONS, PT I		Lecture Notes in Computer Science		7653				354	363							2012	2012						4th International Conference on Computational Collective Intelligence - Technologies and Applications (ICCCI)4th International Conference on Computational Collective Intelligence - Technologies and Applications (ICCCI)	NOV 28-30, 2012NOV 28-30, 2012	Wroclaw Univ Technol; Vietnam Natl Univ, Univ Informat Technol; Polish Acad Sci, Comm Informat; IEEE SMC Tech Comm Computat Collect Intelligence; Natl Fdn Sci & Technol Dev; Inha Univ; Hue UnivWroclaw Univ Technol; Vietnam Natl Univ, Univ Informat Technol; Polish Acad Sci, Comm Informat; IEEE SMC Tech Comm Computat Collect Intelligence; Natl Fdn Sci & Technol Dev; Inha Univ; Hue Univ	Ho Chi Minh City, VIETNAMHo Chi Minh City, VIETNAM	0	0	0	0	0	0			0302-9743		978-3-642-34630-9	WOS:000340573000037		
S	Liu, Manhua; Zhang, Daoqiang; Yap, Pew-Thian; Shen, Dinggang						Ayache, N; Delingette, H; Golland, P; Mori, K		Tree-Guided Sparse Coding for Brain Disease Classification								MEDICAL IMAGE COMPUTING AND COMPUTER-ASSISTED INTERVENTION - MICCAI 2012, PT III		Lecture Notes in Computer Science		7512				239	247							2012	2012						15th International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI)15th International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI)	OCT 01-05, 2012OCT 01-05, 2012	GE HealthCare; Philips; Siemens; Canon Median; ERC MedYMA; Medtronic; Aviesan; Dosisoft; IHU Strasbourg; IRCAD France; Kitware; Microsoft ResGE HealthCare; Philips; Siemens; Canon Median; ERC MedYMA; Medtronic; Aviesan; Dosisoft; IHU Strasbourg; IRCAD France; Kitware; Microsoft Res	Nice, FRANCENice, FRANCE	7	0	0	1	0	7			0302-9743		978-3-642-33454-2; 978-3-642-33453-5	WOS:000371317400030	23286136	
S	Drame, Khadim; Diallo, Gayo; Mougin, Fleur					Diallo, Gayo/0000-0002-9799-9484; Mougin, Fleur/0000-0002-7436-3010	Mantas, J; Andersen, SK; Mazzoleni, MC; Blobel, B; Quaglini, S; Moen, A		Towards a bilingual Alzheimer's disease terminology acquisition using a parallel corpus								QUALITY OF LIFE THROUGH QUALITY OF INFORMATION		Studies in Health Technology and Informatics		180				179	183		10.3233/978-1-61499-101-4-179					2012	2012						24th Medical Informatics in Europe Conference (MIE)24th Medical Informatics in Europe Conference (MIE)	AUG 26-29, 2012AUG 26-29, 2012	European Federat Med Informat; Italian Med Informat Assoc; Italian E Hlth CommunityEuropean Federat Med Informat; Italian Med Informat Assoc; Italian E Hlth Community	Pisa, ITALYPisa, ITALY	2	0	0	2	0	2			0926-9630		978-1-61499-101-4	WOS:000335219500035	22874176	
